invoice_number,invoice_date,taxable_value,cgst,sgst,igst,total_tax,total_value,place_of_supply,reverse_charge,seller_gstin,seller_name,buyer_gstin,buyer_name
B2B2425000124,2025-02-02,3435545.74,0.0,0.0,961952.81,,4397498.55,35,,08BYBAH1011VBZU,,,
GST/2425/000277,2025-02-02,3133058.95,0.0,0.0,0.0,,3133058.95,20,,22WJNGF2848XQZL,,,
INV/2425/000300,2025-02-02,2134231.28,0.0,0.0,597584.76,,2731816.04,18,,05JRSBT6524IEZE,,,
INV-2425-0540,2025-02-02,1794822.82,0.0,0.0,502550.39,,2297373.21,06,,01ANHAR2967D4ZW,,,
B2B2425000124,2025-02-02,3435545.74,0.0,0.0,961952.81,,4397498.55,35,,08BYBAH1011VBZU,,,
GST/2425/000277,2025-02-02,3133058.95,0.0,0.0,0.0,,3133058.95,20,,22WJNGF2848XQZL,,,
INV/2425/000300,2025-02-02,2134231.28,0.0,0.0,597584.76,,2731816.04,18,,05JRSBT6524IEZE,,,
INV-2425-0540,2025-02-02,1794822.82,0.0,0.0,502550.39,,2297373.21,06,,01ANHAR2967D4ZW,,,
INV-2425-000420,2025-02-01,4612320.7,115308.02,115308.02,0.0,,4842936.74,26,,26WJNGF2848X6ZX,,,
INV/2425/557,2025-02-01,4059305.8,0.0,0.0,730675.04,,4789980.84,23,,16RNUCV0563YVZX,,,
INV-2425-000420,2025-02-01,4612320.7,115308.02,115308.02,0.0,,4842936.74,26,,26WJNGF2848X6ZX,,,
INV/2425/557,2025-02-01,4059305.8,0.0,0.0,1136605.62,,5195911.42,23,,16RNUCV0563YVZX,,,
TAX-2425-000184,2025-01-31,2172208.25,0.0,0.0,0.0,,2172208.25,16,,01ANHAR2967D4ZW,,,
GST-2425-000459,2025-01-31,3169082.58,0.0,0.0,158454.13,,3327536.71,06,,22SAYPV7763CRZW,,,
TAX-2425-000184,2025-01-31,2172208.25,0.0,0.0,0.0,,2172208.25,16,,01ANHAR2967D4ZW,,,
GST-2425-000459,2025-01-31,3169082.58,0.0,0.0,158454.13,,3327536.71,06,,22SAYPV7763CRZW,,,
SI-2425-00214,2025-01-30,4109878.73,0.0,0.0,493185.45,,4603064.18,12,,01DEMBO8806RVZQ,,,
SI-2425-00214,2025-01-30,4109878.73,0.0,0.0,493185.45,,4603064.18,12,,01DEMBO8806RVZQ,,,
SI24250427,2025-01-29,2898197.44,0.0,0.0,521675.54,,3419872.98,27,,34KBJLI9726XZZJ,,,
B2B/2425/00430,2025-01-29,1780098.93,0.0,0.0,320417.81,,2100516.74,37,,02TQTFI5946D6ZP,,,
GST/2425/0486,2025-01-29,3596442.51,0.0,0.0,431573.1,,4028015.61,04,,34UKYPI8225VZZF,,,
SI24250427,2025-01-29,2898197.44,0.0,0.0,521675.54,,3419872.98,27,,34KBJLI9726XZZJ,,,
GST/2425/0486,2025-01-29,3596442.51,0.0,0.0,431573.1,,4028015.61,04,,34UKYPI8225VZZF,,,
GST/2425/0070,2025-01-28,3236648.91,0.0,0.0,582596.8,,3819245.71,01,,24EGTCU0607B9ZY,,,
GST/2425/00318,2025-01-28,1451676.24,0.0,0.0,261301.72,,1712977.96,22,,05JRSBT6524IEZE,,,
GST/2425/0070,2025-01-28,3236648.91,0.0,0.0,582596.8,,3819245.71,01,,24EGTCU0607B9ZY,,,
B2B/2425/0186,2025-01-28,2668254.21,0.0,0.0,480285.76,,3148539.97,18,,01ANHAR2967D4ZW,,,
GST/2425/00318,2025-01-28,1451676.24,0.0,0.0,261301.72,,1712977.96,22,,05JRSBT6524IEZE,,,
INV-2425-00378,2025-01-28,1433742.07,0.0,0.0,258073.57,,1691815.64,01,,35SHYPB4339MYZD,,,
INV-2425-000148,2025-01-27,2457873.73,0.0,0.0,122893.69,,2580767.42,22,,36QMUBJ2635PUZU,,,
B2B-2425-0152,2025-01-27,3730121.22,0.0,0.0,447614.55,,4177735.77,15,,12WKQCH8988A7ZW,,,
INV-2425-000148,2025-01-27,2457873.73,0.0,0.0,122893.69,,2580767.42,22,,36QMUBJ2635PUZU,,,
B2B-2425-0152,2025-01-27,2633487.52,0.0,0.0,447614.55,,3081102.07,15,,12WKQCH8988A7ZW,,,
B2B/2425/0413,2025-01-25,4295858.4,0.0,0.0,515503.01,,4811361.41,02,,04CJJGW2962SNZ4,,,
B2B/2425/0413,2025-01-25,4295858.4,0.0,0.0,515503.01,,4811361.41,02,,04CJJGW2962SNZ4,,,
SI2425000340,2025-01-24,2014872.48,0.0,0.0,362677.05,,2377549.53,20,,06JISJR0069HKZG,,,
SI2425000340,2025-01-24,2014872.48,0.0,0.0,362677.05,,2377549.53,20,,06JISJR0069HKZG,,,
24250145,2025-01-23,3573520.96,0.0,0.0,178676.05,,3752197.01,33,,22TVHPP6202IAZZ,,,
2425/000473,2025-01-23,1498263.96,0.0,0.0,179791.68,,1678055.64,37,,36FGYBH3187T9ZK,,,
24250145,2025-01-23,3573520.96,0.0,0.0,178676.05,,3752197.01,33,,22TVHPP6202IAZZ,,,
2425/000473,2025-01-23,1498263.96,0.0,0.0,179791.68,,1678055.64,37,,36FGYBH3187T9ZK,,,
2425/00123,2025-01-22,2644664.86,0.0,0.0,0.0,,2644664.86,09,,07UECLL4476UDZZ,,,
2425/00123,2025-01-22,2644664.86,0.0,0.0,0.0,,2644664.86,09,,07UECLL4476UDZZ,,,
GST-2425-035,2025-01-21,3139436.29,0.0,0.0,565098.53,,3704534.82,10,,22WJNGF2848XQZL,,,
2425-000141,2025-01-21,2766725.17,0.0,0.0,774683.05,,3569075.47,01,,05NZJPJ8685W7ZH,,,
INV-2425-0528,2025-01-21,2065380.96,0.0,0.0,0.0,,2065380.96,01,,02BKOLB2495WPZY,,,
GST-2425-035,2025-01-21,3139436.29,0.0,0.0,565098.53,,3704534.82,10,,22WJNGF2848XQZL,,,
2425-000141,2025-01-21,2766725.17,0.0,0.0,774683.05,,3569075.47,01,,05NZJPJ8685W7ZH,,,
INV-2425-0528,2025-01-21,2065380.96,0.0,0.0,0.0,,2065380.96,01,,02BKOLB2495WPZY,,,
SI-2425-000076,2025-01-20,2454535.95,0.0,0.0,441816.47,,2896352.42,02,,01MIMHZ2258RGZ6,,,
TAX/2425/0117,2025-01-20,2205002.3,0.0,0.0,264600.28,,2469602.58,07,,05JRSBT6524IEZE,,,
SI-2425-000076,2025-01-20,2454535.95,0.0,0.0,441816.47,,2896352.42,02,,01MIMHZ2258RGZ6,,,
TAX/2425/0117,2025-01-20,2205002.3,0.0,0.0,264600.28,,2469602.58,07,,05JRSBT6524IEZE,,,
GST-2425-00059,2025-01-19,441011.29,0.0,0.0,79382.03,,520393.32,02,,10ZICJD5474UMZ1,,,
TAX24250170,2025-01-19,4071325.88,0.0,0.0,203566.29,,4274892.17,36,,01DEMBO8806RVZQ,,,
B2B-2425-468,2025-01-19,4111410.04,0.0,0.0,493369.2,,4604779.24,12,,20LABCR0354BEZN,,,
SI-2425-0505,2025-01-19,1337061.69,0.0,0.0,240671.1,,1577732.79,18,,10NGQBJ4498IOZV,,,
GST-2425-00059,2025-01-19,441011.29,0.0,0.0,79382.03,,520393.32,02,,10ZICJD5474UMZ1,,,
TAX24250170,2025-01-19,4071325.88,0.0,0.0,203566.29,,4274892.17,36,,01DEMBO8806RVZQ,,,
B2B-2425-468,2025-01-19,4111410.04,0.0,0.0,493369.2,,4604779.24,12,,20LABCR0354BEZN,,,
SI-2425-0505,2025-01-19,1591900.59,0.0,0.0,240671.1,,1832571.69,18,,10NGQBJ4498IOZV,,,
2425-000248,2025-01-18,893933.57,0.0,0.0,250301.4,,1153174.31,32,,16RNUCV0563YVZX,,,
GST-2425-0339,2025-01-18,2427445.23,0.0,0.0,291293.43,,2718738.66,01,,27BMFJL3720GXZO,,,
GST/2425/567,2025-01-18,420097.51,0.0,0.0,75617.55,,495715.06,01,,32DMTBE6740M8Z7,,,
2425-000248,2025-01-18,893933.57,0.0,0.0,250301.4,,1153174.31,32,,16RNUCV0563YVZX,,,
GST-2425-0339,2025-01-18,2427445.23,0.0,0.0,291293.43,,2718738.66,01,,27BMFJL3720GXZO,,,
GST/2425/567,2025-01-18,420097.51,0.0,0.0,75617.55,,495715.06,01,,32DMTBE6740M8Z7,,,
B2B-2425-0226,2025-01-17,4628659.02,0.0,0.0,555439.08,,5184098.1,34,,09VCYCP9274P5Z3,,,
GST-2425-00241,2025-01-17,4968784.43,0.0,0.0,894381.2,,5863165.63,04,,18PSFGQ4980NTZ8,,,
GST-2425-000423,2025-01-17,4577915.83,412012.42,412012.42,0.0,,5401940.67,34,,34RHBCP5429NBZ0,,,
B2B-2425-0226,2025-01-17,4628659.02,0.0,0.0,555439.08,,5184098.1,34,,09VCYCP9274P5Z3,,,
GST-2425-00241,2025-01-17,4968784.43,0.0,0.0,596254.13,,5565038.56,04,,18PSFGQ4980NTZ8,,,
GST-2425-000423,2025-01-17,4577915.83,412012.42,412012.42,0.0,,5401940.67,34,,34RHBCP5429NBZ0,,,
SI2425091,2025-01-15,1588163.56,0.0,0.0,285869.44,,1874033.0,18,,07FGYBH3187TAZK,,,
SI/2425/0291,2025-01-15,197867.99,0.0,0.0,9893.4,,207761.39,20,,08BYBAH1011VBZU,,,
SI2425000394,2025-01-15,439546.47,0.0,0.0,79118.36,,518664.83,20,,06JISJR0069HKZG,,,
TAX/2425/444,2025-01-15,798645.6,0.0,0.0,143756.21,,942401.81,37,,26RCLJF0323YVZ3,,,
SI2425091,2025-01-15,1588163.56,0.0,0.0,285869.44,,1874033.0,18,,07FGYBH3187TAZK,,,
SI/2425/0291,2025-01-15,197867.99,0.0,0.0,9893.4,,207761.39,20,,08BYBAH1011VBZU,,,
SI2425000394,2025-01-15,439546.47,0.0,0.0,79118.36,,518664.83,20,,06JISJR0069HKZG,,,
TAX/2425/444,2025-01-15,798645.6,0.0,0.0,143756.21,,942401.81,37,,26RCLJF0323YVZ3,,,
GST/2425/368,2025-01-14,1498478.8,0.0,0.0,74923.94,,1573402.74,22,,23ZNYBI1921NDZD,,,
GST/2425/368,2025-01-14,1731354.58,0.0,0.0,74923.94,,1806278.52,22,,23ZNYBI1921NDZD,,,
SI24250019,2025-01-13,687227.5,0.0,0.0,123700.95,,810928.45,04,,26RCLJF0323YVZ3,,,
GST24250234,2025-01-13,1039201.41,0.0,0.0,187056.25,,1226257.66,37,,20OUNAT3098ZWZV,,,
B2B/2425/000282,2025-01-13,4504184.47,0.0,0.0,810753.2,,5314937.67,33,,07UECLL4476UDZZ,,,
B2B/2425/323,2025-01-13,410962.38,0.0,0.0,73973.23,,484935.61,29,,20LABCR0354BEZN,,,
SI24250019,2025-01-13,687227.5,0.0,0.0,123700.95,,810928.45,04,,26RCLJF0323YVZ3,,,
GST24250234,2025-01-13,1039201.41,0.0,0.0,187056.25,,1226257.66,37,,20OUNAT3098ZWZV,,,
B2B/2425/000282,2025-01-13,4504184.47,0.0,0.0,810753.2,,5314937.67,33,,07UECLL4476UDZZ,,,
B2B/2425/323,2025-01-13,410962.38,0.0,0.0,73973.23,,484935.61,29,,20LABCR0354BEZN,,,
B2B-2425-0032,2025-01-12,4792354.65,0.0,0.0,862623.84,,5654978.49,12,,20LABCR0354BEZN,,,
B2B-2425-0032,2025-01-12,4792354.65,0.0,0.0,862623.84,,5654978.49,12,,20LABCR0354BEZN,,,
B2B/2425/000377,2025-01-10,1898155.36,0.0,0.0,341667.96,,2239823.32,10,,23ZNYBI1921NDZD,,,
GST24250118,2025-01-08,1541102.92,0.0,0.0,184932.35,,1726035.27,06,,36FGYBH3187T9ZK,,,
B2B/2425/00326,2025-01-08,3209800.61,0.0,0.0,577764.11,,3787564.72,24,,01TLXTG7331WGZ2,,,
GST2425487,2025-01-08,2849811.19,0.0,0.0,512966.01,,3362777.2,07,,06LHWCW4227D3ZC,,,
GST24250118,2025-01-08,1541102.92,0.0,0.0,184932.35,,1726035.27,06,,36FGYBH3187T9ZK,,,
B2B/2425/00326,2025-01-08,3209800.61,0.0,0.0,577764.11,,3787564.72,24,,01TLXTG7331WGZ2,,,
GST2425487,2025-01-08,2849811.19,0.0,0.0,512966.01,,3362777.2,07,,06LHWCW4227D3ZC,,,
TAX/2425/000048,2025-01-07,768796.08,0.0,0.0,138383.29,,907179.37,08,,35SHYPB4339MYZD,,,
TAX/2425/000048,2025-01-07,768796.08,0.0,0.0,138383.29,,907179.37,08,,35SHYPB4339MYZD,,,
TAX/2425/000235,2025-01-06,1997628.89,0.0,0.0,359573.2,,2357202.09,35,,22WJNGF2848XQZL,,,
B2B/2425/0552,2025-01-06,3024156.98,0.0,0.0,544348.26,,3568505.24,16,,34UKYPI8225VZZF,,,
TAX/2425/000235,2025-01-06,1997628.89,0.0,0.0,359573.2,,2357202.09,35,,22WJNGF2848XQZL,,,
B2B/2425/0552,2025-01-06,3024156.98,0.0,0.0,544348.26,,3568505.24,16,,34UKYPI8225VZZF,,,
2425/445,2025-01-05,2243805.41,0.0,0.0,403884.97,,2647690.38,20,,06LHWCW4227D3ZC,,,
2425/445,2025-01-05,2243805.41,0.0,0.0,403884.97,,2647690.38,20,,06LHWCW4227D3ZC,,,
SI242500044,2025-01-04,1720826.56,0.0,0.0,309748.78,,2030575.34,22,,14JXHTN3667Y5ZQ,,,
2425/335,2025-01-04,1469871.67,0.0,0.0,264576.9,,1734448.57,07,,21KRMAH2280HJZ4,,,
SI242500044,2025-01-04,1720826.56,0.0,0.0,309748.78,,2030575.34,22,,14JXHTN3667Y5ZQ,,,
2425/335,2025-01-04,1469871.67,0.0,0.0,264576.9,,1734448.57,07,,21KRMAH2280HJZ4,,,
B2B/2425/00306,2025-01-03,88185.42,0.0,0.0,15873.38,,104058.8,01,,34RHBCP5429NBZ0,,,
2425-000307,2025-01-03,1026438.7,0.0,0.0,184758.97,,1211197.67,06,,21MHKGQ5458X2ZE,,,
SI/2425/421,2025-01-03,709657.67,0.0,0.0,35482.88,,745140.55,12,,02TQTFI5946D6ZP,,,
TAX242500534,2025-01-03,3524228.49,0.0,0.0,634361.13,,4158589.62,27,,20QLRJJ6143SPZR,,,
B2B/2425/00306,2025-01-03,88185.42,0.0,0.0,15873.38,,104058.8,01,,34RHBCP5429NBZ0,,,
2425-000307,2025-01-03,1026438.7,0.0,0.0,184758.97,,1211197.67,06,,21MHKGQ5458X2ZE,,,
SI/2425/421,2025-01-03,709657.67,0.0,0.0,35482.88,,745140.55,12,,02TQTFI5946D6ZP,,,
TAX242500534,2025-01-03,3524228.49,0.0,0.0,634361.13,,4158589.62,27,,20QLRJJ6143SPZR,,,
INV2425272,2025-01-02,1572978.5,0.0,0.0,78648.93,,1651627.43,35,,07FGYBH3187TAZK,,,
SI2425417,2025-01-02,2292804.87,0.0,0.0,641985.36,,2934790.23,10,,05JRSBT6524IEZE,,,
INV2425272,2025-01-02,1572978.5,0.0,0.0,78648.93,,1651627.43,35,,07FGYBH3187TAZK,,,
SI2425417,2025-01-02,2292804.87,0.0,0.0,641985.36,,2934790.23,10,,05JRSBT6524IEZE,,,
SI242500299,2025-01-01,2114085.65,0.0,0.0,253690.28,,2367775.93,21,,34RHBCP5429NBZ0,,,
INV24250393,2025-01-01,919667.49,0.0,0.0,165540.15,,1085207.64,22,,01DEMBO8806RVZQ,,,
SI24250422,2025-01-01,219003.34,0.0,0.0,10950.17,,229953.51,18,,01TLXTG7331WGZ2,,,
SI242500299,2025-01-01,2114085.65,0.0,0.0,253690.28,,2367775.93,21,,34RHBCP5429NBZ0,,,
INV24250393,2025-01-01,919667.49,0.0,0.0,165540.15,,1085207.64,22,,01DEMBO8806RVZQ,,,
SI24250422,2025-01-01,219003.34,0.0,0.0,10950.17,,229953.51,18,,01TLXTG7331WGZ2,,,
INV-2425-338,2024-12-31,4703397.95,0.0,0.0,846611.63,,5550009.58,26,,20KPNGG6321U7ZL,,,
GST/2425/000479,2024-12-31,3727041.03,0.0,0.0,186352.05,,3913393.08,35,,27ZSUCJ1036MKZT,,,
INV-2425-338,2024-12-31,4703397.95,0.0,0.0,846611.63,,5550009.58,26,,20KPNGG6321U7ZL,,,
GST/2425/000479,2024-12-31,3727041.03,0.0,0.0,186352.05,,3913393.08,35,,27ZSUCJ1036MKZT,,,
INV/2425/0558,2024-12-30,2559712.85,0.0,0.0,0.0,,2559712.85,20,,35SHYPB4339MYZD,,,
INV/2425/0558,2024-12-30,2559712.85,0.0,0.0,0.0,,2559712.85,20,,35SHYPB4339MYZD,,,
TAX24250255,2024-12-28,515482.67,0.0,0.0,92786.88,,608269.55,20,,06NQQPY4472HPZ3,,,
SI-2425-0265,2024-12-28,235929.11,0.0,0.0,42467.24,,278396.35,27,,18PSFGQ4980NTZ8,,,
INV-2425-000373,2024-12-28,1251838.54,0.0,0.0,62591.93,,1314430.47,20,,36FGYBH3187T9ZK,,,
TAX24250255,2024-12-28,515482.67,0.0,0.0,92786.88,,608269.55,20,,06NQQPY4472HPZ3,,,
SI-2425-0265,2024-12-28,235929.11,0.0,0.0,42467.24,,278396.35,27,,18PSFGQ4980NTZ8,,,
INV-2425-000373,2024-12-28,1251838.54,0.0,0.0,62591.93,,1314430.47,20,,36FGYBH3187T9ZK,,,
2425-000144,2024-12-27,4602332.51,0.0,0.0,828419.85,,5430752.36,12,,04RCLJF0323YNZH,,,
GST/2425/0509,2024-12-27,4560834.57,0.0,0.0,820950.22,,5381784.79,07,,22SAYPV7763CRZW,,,
2425-000144,2024-12-27,4602332.51,0.0,0.0,828419.85,,5430752.36,12,,04RCLJF0323YNZH,,,
GST/2425/0509,2024-12-27,4560834.57,0.0,0.0,820950.22,,5381784.79,07,,22SAYPV7763CRZW,,,
GST/2425/00491,2024-12-26,2859782.87,0.0,0.0,514760.92,,3374543.79,04,,07UECLL4476UDZZ,,,
GST/2425/00491,2024-12-26,2859782.87,0.0,0.0,514760.92,,3374543.79,04,,07UECLL4476UDZZ,,,
B2B242500084,2024-12-25,3828904.74,0.0,0.0,689202.85,,4518107.59,07,,34RHBCP5429NBZ0,,,
SI-2425-000310,2024-12-25,4810562.39,0.0,0.0,865901.23,,5676463.62,06,,02TQTFI5946D6ZP,,,
INV-2425-545,2024-12-25,207179.36,12430.76,12430.76,0.0,,232040.88,20,,20SOELV7154AUZ7,,,
B2B-2425-0589,2024-12-25,3273815.96,0.0,0.0,916668.47,,4190484.43,16,,01ANHAR2967D4ZW,,,
B2B242500084,2024-12-25,3828904.74,0.0,0.0,689202.85,,4518107.59,07,,34RHBCP5429NBZ0,,,
SI-2425-000310,2024-12-25,4810562.39,0.0,0.0,240528.12,,5051090.51,06,,02TQTFI5946D6ZP,,,
INV-2425-545,2024-12-25,207179.36,12430.76,12430.76,0.0,,232040.88,20,,20SOELV7154AUZ7,,,
B2B-2425-0589,2024-12-25,3273815.96,0.0,0.0,916668.47,,4190484.43,16,,01ANHAR2967D4ZW,,,
B2B2425071,2024-12-24,3422154.79,0.0,0.0,615987.86,,4038142.65,01,,05NZJPJ8685W7ZH,,,
SI/2425/000382,2024-12-24,76206.93,0.0,0.0,13717.25,,89924.18,05,,04CJJGW2962SNZ4,,,
B2B2425071,2024-12-24,4058445.46,0.0,0.0,615987.86,,4674433.32,01,,05NZJPJ8685W7ZH,,,
SI/2425/000382,2024-12-24,61567.83,0.0,0.0,13717.25,,75285.08,05,,04CJJGW2962SNZ4,,,
TAX/2425/360,2024-12-23,749009.24,0.0,0.0,89881.11,,838890.35,35,,29PDZAL5606ASZ0,,,
TAX24250599,2024-12-23,3988396.98,99709.92,99709.92,0.0,,4187816.82,26,,26YKTPZ6224A9ZY,,,
TAX/2425/360,2024-12-23,749009.24,0.0,0.0,89881.11,,838890.35,35,,29PDZAL5606ASZ0,,,
TAX24250599,2024-12-23,3988396.98,99709.92,99709.92,0.0,,4187816.82,26,,26YKTPZ6224A9ZY,,,
B2B2425000085,2024-12-22,507024.38,0.0,0.0,60842.93,,567867.31,22,,16RNUCV0563YVZX,,,
B2B2425000085,2024-12-22,507024.38,0.0,0.0,60842.93,,567867.31,22,,16RNUCV0563YVZX,,,
B2B-2425-000009,2024-12-21,1426030.01,0.0,0.0,171123.6,,1597153.61,17,,01DEMBO8806RVZQ,,,
SI-2425-000064,2024-12-21,2572031.0,0.0,0.0,128601.55,,2700632.55,06,,08BYBAH1011VBZU,,,
INV2425375,2024-12-21,4966874.16,0.0,0.0,894037.35,,5860911.51,04,,26YKTPZ6224A9ZY,,,
B2B-2425-000009,2024-12-21,1426030.01,0.0,0.0,171123.6,,1597153.61,17,,01DEMBO8806RVZQ,,,
SI-2425-000064,2024-12-21,2572031.0,0.0,0.0,128601.55,,2700632.55,06,,08BYBAH1011VBZU,,,
INV2425375,2024-12-21,4966874.16,0.0,0.0,894037.35,,5860911.51,04,,26YKTPZ6224A9ZY,,,
GST-2425-00237,2024-12-18,2127603.29,0.0,0.0,382968.59,,2510571.88,10,,37OSFJM8611XFZ8,,,
GST-2425-00237,2024-12-18,2127603.29,0.0,0.0,382968.59,,2510571.88,10,,37OSFJM8611XFZ8,,,
INV-2425-149,2024-12-17,1925858.35,0.0,0.0,346654.5,,2272512.85,26,,22TVHPP6202IAZZ,,,
INV-2425-149,2024-12-17,1925858.35,0.0,0.0,346654.5,,2272512.85,26,,22TVHPP6202IAZZ,,,
2425/000452,2024-12-16,4603331.91,0.0,0.0,552399.83,,5155731.74,14,,34OPAAH0035IGZK,,,
2425/000452,2024-12-16,4603331.91,0.0,0.0,552399.83,,5155731.74,14,,34OPAAH0035IGZK,,,
INV242500001,2024-12-14,4727132.8,0.0,0.0,850883.9,,5578016.7,35,,01DEMBO8806RVZQ,,,
2425-0139,2024-12-14,570563.52,0.0,0.0,0.0,,570563.52,35,,20OUNAT3098ZWZV,,,
INV242500001,2024-12-14,4727132.8,0.0,0.0,850883.9,,5578016.7,35,,01DEMBO8806RVZQ,,,
2425-0139,2024-12-14,570563.52,34233.81,34233.81,0.0,,639031.14,35,,20OUNAT3098ZWZV,,,
2425000216,2024-12-13,1054689.91,0.0,0.0,189844.18,,1244534.09,27,,20LABCR0354BEZN,,,
2425000216,2024-12-13,1054689.91,0.0,0.0,189844.18,,1244534.09,27,,20LABCR0354BEZN,,,
INV242500539,2024-12-12,1616220.1,0.0,0.0,290919.62,,1907139.72,34,,12BUHHN1557FAZ2,,,
INV242500539,2024-12-12,1616220.1,0.0,0.0,290919.62,,1907139.72,34,,12BUHHN1557FAZ2,,,
B2B/2425/125,2024-12-11,3142226.78,0.0,0.0,565600.82,,3707827.6,02,,26YKTPZ6224A9ZY,,,
GST2425437,2024-12-11,2615838.36,0.0,0.0,470850.9,,3086689.26,01,,20SOELV7154AUZ7,,,
B2B/2425/125,2024-12-11,3142226.78,0.0,0.0,565600.82,,3707827.6,02,,26YKTPZ6224A9ZY,,,
GST2425437,2024-12-11,2615838.36,0.0,0.0,470850.9,,3086689.26,01,,20SOELV7154AUZ7,,,
2425000016,2024-12-10,4411815.04,0.0,0.0,794126.71,,5205941.75,18,,37OSFJM8611XFZ8,,,
2425442,2024-12-10,1301378.51,0.0,0.0,234248.13,,1535626.64,16,,05JRSBT6524IEZE,,,
2425442,2024-12-10,1301378.51,0.0,0.0,234248.13,,1535626.64,16,,05JRSBT6524IEZE,,,
GST24250181,2024-12-09,4810869.49,0.0,0.0,0.0,,4810869.49,04,,08BYBAH1011VBZU,,,
GST24250181,2024-12-09,4810869.49,0.0,0.0,0.0,,4810869.49,04,,08BYBAH1011VBZU,,,
INV-2425-0013,2024-12-08,614064.47,0.0,0.0,110531.6,,724596.07,14,,08BYBAH1011VBZU,,,
B2B-2425-000441,2024-12-08,42354.53,0.0,0.0,7623.82,,49978.35,10,,03QAHFE7680NZZM,,,
INV-2425-0013,2024-12-08,614064.47,0.0,0.0,110531.6,,724596.07,14,,08BYBAH1011VBZU,,,
B2B-2425-000441,2024-12-08,42354.53,0.0,0.0,7623.82,,49978.35,10,,03QAHFE7680NZZM,,,
2425-0026,2024-12-07,2304684.16,0.0,0.0,414843.15,,2719527.31,20,,01ANHAR2967D4ZW,,,
INV-2425-00090,2024-12-07,3722209.21,0.0,0.0,669997.66,,4392206.87,07,,06NQQPY4472HPZ3,,,
SI-2425-00355,2024-12-07,1020581.21,0.0,0.0,183704.62,,1204285.83,20,,09VCYCP9274P5Z3,,,
2425-0026,2024-12-07,2304684.16,0.0,0.0,414843.15,,2719527.31,20,,01ANHAR2967D4ZW,,,
INV-2425-00090,2024-12-07,3722209.21,0.0,0.0,669997.66,,4392206.87,07,,06NQQPY4472HPZ3,,,
SI-2425-00355,2024-12-07,1020581.21,0.0,0.0,183704.62,,1204285.83,20,,09VCYCP9274P5Z3,,,
INV-2425-0252,2024-12-04,72148.75,0.0,0.0,12986.77,,85135.52,34,,24EGTCU0607B9ZY,,,
B2B242500371,2024-12-04,3862226.94,0.0,0.0,193111.35,,4055338.29,02,,35NGQBJ4498IXZA,,,
GST2425000431,2024-12-04,3326660.5,0.0,0.0,598798.89,,3925459.39,20,,05JRSBT6524IEZE,,,
INV-2425-0252,2024-12-04,72148.75,0.0,0.0,12986.77,,85135.52,34,,24EGTCU0607B9ZY,,,
B2B242500371,2024-12-04,3862226.94,0.0,0.0,193111.35,,4055338.29,02,,35NGQBJ4498IXZA,,,
GST2425000431,2024-12-04,3326660.5,0.0,0.0,598798.89,,3925459.39,20,,05JRSBT6524IEZE,,,
B2B/2425/000587,2024-12-01,2243017.53,0.0,0.0,112150.88,,2355168.41,05,,09VCYCP9274P5Z3,,,
B2B/2425/000587,2024-12-01,2243017.53,0.0,0.0,112150.88,,2355168.41,05,,09VCYCP9274P5Z3,,,
INV24250295,2024-11-30,72705.84,0.0,0.0,13087.05,,85792.89,06,,33NZJPJ8685WOZ1,,,
2425/553,2024-11-30,2279946.84,0.0,0.0,410390.43,,2690337.27,35,,24EGTCU0607B9ZY,,,
INV24250295,2024-11-30,72705.84,0.0,0.0,13087.05,,85792.89,06,,33NZJPJ8685WOZ1,,,
2425/553,2024-11-30,2279946.84,0.0,0.0,410390.43,,2690337.27,35,,24EGTCU0607B9ZY,,,
B2B/2425/0186,2024-11-29,2668254.21,0.0,0.0,480285.76,,3148539.97,18,,01ANHAR2967D4ZW,,,
B2B-2425-210,2024-11-29,1670936.7,0.0,0.0,300768.61,,1971705.31,01,,06LHWCW4227D3ZC,,,
INV-2425-00378,2024-11-29,1433742.07,0.0,0.0,258073.57,,1691815.64,01,,35SHYPB4339MYZD,,,
SI/2425/0387,2024-11-29,4024062.64,0.0,0.0,724331.28,,4748393.92,26,,07FGYBH3187TAZK,,,
B2B-2425-210,2024-11-29,1670936.7,0.0,0.0,300768.61,,1971705.31,01,,06LHWCW4227D3ZC,,,
SI/2425/0387,2024-11-29,4024062.64,0.0,0.0,724331.28,,4748393.92,26,,07FGYBH3187TAZK,,,
GST242500424,2024-11-28,2233121.01,0.0,0.0,401961.78,,2635082.79,05,,34KBJLI9726XZZJ,,,
B2B-2425-0482,2024-11-28,2863633.01,0.0,0.0,515453.94,,3379086.95,22,,05JRSBT6524IEZE,,,
GST242500424,2024-11-28,2233121.01,0.0,0.0,401961.78,,2635082.79,05,,34KBJLI9726XZZJ,,,
B2B-2425-0482,2024-11-28,2863633.01,0.0,0.0,515453.94,,3379086.95,22,,05JRSBT6524IEZE,,,
GST-2425-000200,2024-11-27,1753717.8,0.0,0.0,210446.14,,1964163.94,07,,34KBJLI9726XZZJ,,,
2425/0356,2024-11-27,317546.36,0.0,0.0,57158.34,,374704.7,18,,16IBMPF0580C3ZS,,,
TAX-2425-00496,2024-11-27,2380767.92,0.0,0.0,0.0,,2380767.92,06,,01TLXTG7331WGZ2,,,
GST-2425-000200,2024-11-27,1753717.8,0.0,0.0,210446.14,,1964163.94,07,,34KBJLI9726XZZJ,,,
